param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_273_pop_0,0.501167,0.501152,0.496310,0.506053
q_ind_274_pop_0,0.502343,0.502298,0.497693,0.507133
q_ind_275_pop_0,0.495133,0.495129,0.490409,0.499851
q_ind_276_pop_0,0.213066,0.213040,0.203472,0.222576
q_ind_277_pop_0,0.509695,0.509678,0.504395,0.515141
q_ind_278_pop_0,0.503627,0.503613,0.498588,0.508597
q_ind_279_pop_0,0.999960,0.999999,0.999646,1.000000
q_ind_280_pop_0,0.500081,0.500041,0.495016,0.505399
q_ind_281_pop_0,0.988173,0.988215,0.984956,0.991182
q_ind_282_pop_0,0.999964,0.999999,0.999690,1.000000
q_ind_283_pop_0,0.992728,0.992794,0.989883,0.995199
q_ind_284_pop_0,0.506922,0.506888,0.502606,0.511418
q_ind_285_pop_0,0.501070,0.500988,0.496510,0.506265
q_ind_286_pop_0,0.501216,0.501168,0.495066,0.507538
q_ind_287_pop_0,0.506207,0.506159,0.500357,0.511104
q_ind_288_pop_0,0.500561,0.500516,0.495524,0.505932
q_ind_289_pop_0,0.000088,0.000002,0.000000,0.000813
q_ind_290_pop_0,0.506088,0.506098,0.501237,0.511013
q_ind_291_pop_0,0.505692,0.505625,0.500753,0.510982
q_ind_292_pop_0,0.502934,0.502907,0.497739,0.508119
q_ind_293_pop_0,0.999889,0.999995,0.999148,1.000000
q_ind_294_pop_0,0.507389,0.507351,0.502721,0.512124
q_ind_295_pop_0,0.982108,0.982184,0.977934,0.985823
q_ind_296_pop_0,0.301602,0.301611,0.291199,0.312166
q_ind_297_pop_0,0.511985,0.512001,0.504474,0.519510
q_ind_298_pop_0,0.000055,0.000002,0.000000,0.000468
q_ind_299_pop_0,0.000078,0.000002,0.000000,0.000664
q_ind_300_pop_0,0.000047,0.000001,0.000000,0.000419
q_ind_301_pop_0,0.000058,0.000002,0.000000,0.000498
q_ind_302_pop_0,0.000059,0.000002,0.000000,0.000530
q_ind_303_pop_0,0.000051,0.000001,0.000000,0.000471
q_ind_304_pop_0,0.000056,0.000001,0.000000,0.000496
q_ind_305_pop_0,0.000054,0.000001,0.000000,0.000482
