param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_32_anc_2-1,0.000008,0.000000,0.000000,0.000101
Q_ind_33_anc_2-1,0.000006,0.000000,0.000000,0.000066
Q_ind_34_anc_2-1,0.000015,0.000000,0.000000,0.000186
Q_ind_35_anc_2-1,0.000008,0.000000,0.000000,0.000082
Q_ind_36_anc_2-1,0.000007,0.000000,0.000000,0.000071
Q_ind_37_anc_2-1,0.000007,0.000000,0.000000,0.000056
Q_ind_38_anc_2-1,0.000008,0.000000,0.000000,0.000079
Q_ind_39_anc_2-1,0.000015,0.000000,0.000000,0.000169
Q_ind_40_anc_2-1,0.000133,0.000000,0.000000,0.001231
Q_ind_41_anc_2-1,0.000007,0.000000,0.000000,0.000072
Q_ind_42_anc_2-1,0.000008,0.000000,0.000000,0.000086
Q_ind_43_anc_2-1,0.000008,0.000000,0.000000,0.000080
Q_ind_44_anc_2-1,0.000007,0.000000,0.000000,0.000064
Q_ind_45_anc_2-1,0.000008,0.000000,0.000000,0.000085
Q_ind_46_anc_2-1,0.000007,0.000000,0.000000,0.000081
Q_ind_47_anc_2-1,0.000006,0.000000,0.000000,0.000058
Q_ind_48_anc_2-1,0.000007,0.000000,0.000000,0.000083
Q_ind_49_anc_2-1,0.000020,0.000000,0.000000,0.000230
Q_ind_50_anc_2-1,0.000008,0.000000,0.000000,0.000088
Q_ind_51_anc_2-1,0.000027,0.000000,0.000000,0.000354
Q_ind_52_anc_2-1,0.000008,0.000000,0.000000,0.000079
Q_ind_53_anc_2-1,0.000008,0.000000,0.000000,0.000075
Q_ind_54_anc_2-1,0.000011,0.000000,0.000000,0.000107
Q_ind_55_anc_2-1,0.000027,0.000000,0.000000,0.000351
Q_ind_56_anc_2-1,0.000014,0.000000,0.000000,0.000172
Q_ind_57_anc_2-1,0.000007,0.000000,0.000000,0.000070
Q_ind_58_anc_2-1,0.000009,0.000000,0.000000,0.000090
Q_ind_59_anc_2-1,0.000009,0.000000,0.000000,0.000098
Q_ind_60_anc_2-1,0.000009,0.000000,0.000000,0.000078
